epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.865,2.25057,1.27801,0.86407,0.81464,0.49805,0.61325,0.30785,1.97578,1.08738,0.79678,3.24324e-05,3.24324e-05,0.0001
2,196.661,2.19058,1.21312,0.86064,0.80793,0.49664,0.61144,0.30678,1.97473,1.0934,0.7953,6.55053e-05,6.55053e-05,9.97396e-05
3,303.954,2.31775,1.2485,0.82685,0.80369,0.49563,0.61131,0.31039,1.94057,1.10253,0.79295,9.83142e-05,9.83142e-05,9.92151e-05
4,403.193,2.22916,1.22048,0.8616,0.79902,0.49141,0.6083,0.31341,1.89467,1.12394,0.78924,9.8812e-05,9.8812e-05,9.8812e-05
5,507.579,2.31013,1.22521,0.83319,0.7979,0.49025,0.60732,0.31494,1.88686,1.12937,0.78869,9.8416e-05,9.8416e-05,9.8416e-05
6,614.177,2.36404,1.23183,0.82286,0.80196,0.49139,0.60886,0.31665,1.8774,1.12303,0.78833,9.802e-05,9.802e-05,9.802e-05
7,719.749,2.14405,1.19551,0.85212,0.80794,0.49404,0.61538,0.32146,1.86697,1.12043,0.78849,9.7624e-05,9.7624e-05,9.7624e-05
8,826.313,2.31109,1.23375,0.84587,0.8105,0.49557,0.61657,0.32192,1.87048,1.12019,0.78866,9.7228e-05,9.7228e-05,9.7228e-05
9,933.008,2.28647,1.21598,0.84215,0.81258,0.496,0.61696,0.32161,1.88787,1.10745,0.78999,9.6832e-05,9.6832e-05,9.6832e-05
10,1034.13,2.16682,1.19222,0.84952,0.8099,0.49511,0.61633,0.32049,1.88439,1.10827,0.78991,9.6436e-05,9.6436e-05,9.6436e-05
11,1140.76,2.25497,1.20813,0.83372,0.80826,0.49559,0.61584,0.32249,1.89007,1.10197,0.79018,9.604e-05,9.604e-05,9.604e-05
