epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2208,2.27014,1.26015,0.82949,0.7154,0.45164,0.53365,0.22715,2.15844,1.28883,0.8271,1.7e-05,1.7e-05,0.0001
2,99.165,2.18178,1.24247,0.82566,0.71636,0.45164,0.53385,0.22969,2.13953,1.28814,0.82647,3.48268e-05,3.48268e-05,9.98268e-05
3,148.324,2.20733,1.29407,0.85554,0.71848,0.45102,0.53188,0.23127,2.13242,1.28993,0.82524,5.24753e-05,5.24753e-05,9.94753e-05
4,195.788,2.19009,1.19866,0.81904,0.72488,0.45422,0.53638,0.23149,2.14388,1.28817,0.82558,6.99457e-05,6.99457e-05,9.89457e-05
5,243.275,2.29655,1.23403,0.8325,0.7301,0.45746,0.54138,0.233,2.15444,1.28001,0.82495,8.72378e-05,8.72378e-05,9.82378e-05
6,289.486,2.2571,1.22131,0.82788,0.72875,0.45696,0.54203,0.23241,2.17476,1.27651,0.82583,9.7525e-05,9.7525e-05,9.7525e-05
7,335.658,2.21403,1.21878,0.83875,0.73253,0.45968,0.54517,0.23371,2.19639,1.26955,0.8264,9.703e-05,9.703e-05,9.703e-05
8,381.565,2.21442,1.19275,0.81784,0.73275,0.45981,0.54602,0.23398,2.20177,1.26442,0.82599,9.6535e-05,9.6535e-05,9.6535e-05
9,427.055,2.19976,1.25739,0.84825,0.73255,0.4603,0.54578,0.23353,2.20686,1.26253,0.8264,9.604e-05,9.604e-05,9.604e-05
10,474.242,2.09066,5.00783,0.77972,0.73168,0.46104,0.54603,0.23415,2.20733,1.25614,0.82574,9.5545e-05,9.5545e-05,9.5545e-05
11,521.12,2.20927,1.19895,0.81965,0.73186,0.46092,0.54528,0.23433,2.20075,1.25561,0.82546,9.505e-05,9.505e-05,9.505e-05
12,567.66,2.20813,1.22583,0.82075,0.73087,0.46046,0.54483,0.23418,2.19064,1.25314,0.82488,9.4555e-05,9.4555e-05,9.4555e-05
13,611.651,2.14021,1.22183,0.83441,0.7305,0.45992,0.54389,0.2351,2.1807,1.25385,0.82484,9.406e-05,9.406e-05,9.406e-05
14,656.792,2.1515,1.18202,0.82111,0.73015,0.45877,0.54346,0.23528,2.17237,1.25576,0.8251,9.3565e-05,9.3565e-05,9.3565e-05
15,702.462,2.16382,1.21251,0.83281,0.73032,0.45817,0.54343,0.23455,2.1738,1.25695,0.8261,9.307e-05,9.307e-05,9.307e-05
