epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2597,4.10773,3.26224,1.3287,0.03389,0.0244,0.01737,0.00413,3.82478,3.06332,1.0171,4e-05,4e-05,0.09604
2,25.0432,3.59234,2.61529,1.07252,0.11444,0.0824,0.06476,0.01574,3.69733,2.7127,0.99581,8.9109e-05,8.9109e-05,0.0910891
3,35.8825,3.14236,2.29834,1.02786,0.13722,0.0988,0.08109,0.02051,3.56364,2.58605,0.97959,0.000137228,0.000137228,0.0861372
4,48.3221,3.38769,2.12582,0.9975,0.22389,0.1612,0.13875,0.04428,3.12542,2.31324,0.94086,0.000184357,0.000184357,0.0811844
5,60.522,3.14178,1.87936,0.94149,0.24222,0.1744,0.15588,0.04868,3.06073,2.21468,0.93304,0.000230496,0.000230496,0.0762305
6,71.356,3.17569,1.84211,0.99511,0.26,0.1872,0.17058,0.05365,3.03141,2.13268,0.92915,0.000275645,0.000275645,0.0712756
7,82.2835,2.85569,1.69976,0.94904,0.29444,0.212,0.20154,0.06151,2.94609,2.06376,0.92092,0.000319804,0.000319804,0.0663198
8,94.3897,3.22653,1.8367,0.91869,0.29444,0.212,0.20154,0.06151,2.94609,2.06376,0.92092,0.000362973,0.000362973,0.061363
9,106.363,2.84427,1.59881,0.91964,0.315,0.2268,0.2228,0.07071,2.88368,2.0189,0.91374,0.000405152,0.000405152,0.0564052
10,117.83,3.36429,1.72701,0.93478,0.345,0.2484,0.25533,0.08085,2.86973,1.95786,0.91534,0.000446341,0.000446341,0.0514463
11,130.308,3.13876,1.54615,0.93308,0.345,0.2484,0.25533,0.08085,2.86973,1.95786,0.91534,0.00048654,0.00048654,0.0464865
12,141.572,3.18389,1.66608,0.97379,0.36056,0.2596,0.27093,0.08201,2.92701,1.902,0.92391,0.000525749,0.000525749,0.0415257
13,153.819,3.16984,2.05864,1.00177,0.36056,0.2596,0.27093,0.08201,2.92701,1.902,0.92391,0.000563968,0.000563968,0.036564
14,164.936,2.92122,1.72237,0.97384,0.36056,0.2596,0.27093,0.08201,2.92701,1.902,0.92391,0.000601197,0.000601197,0.0316012
15,175.439,2.88508,1.73483,0.97451,0.37576,0.2636,0.26884,0.07649,3.08398,1.94198,0.93476,0.000637436,0.000637436,0.0266374
16,185.473,2.99585,2.08661,1.02102,0.37576,0.2636,0.26884,0.07649,3.08398,1.94198,0.93476,0.000672685,0.000672685,0.0216727
17,197.064,2.92899,1.48951,0.94959,0.37576,0.2636,0.26884,0.07649,3.08398,1.94198,0.93476,0.000706944,0.000706944,0.0167069
18,207.613,2.90871,2.45801,1.01733,0.46417,0.2856,0.32354,0.08948,3.01636,1.92915,0.93184,0.000740213,0.000740213,0.0117402
19,217.983,2.85244,1.77568,0.9234,0.46417,0.2856,0.32354,0.08948,3.01636,1.92915,0.93184,0.000772492,0.000772492,0.00677249
20,229.363,2.64149,1.58151,0.98621,0.46417,0.2856,0.32354,0.08948,3.01636,1.92915,0.93184,0.000803781,0.000803781,0.00180378
21,242.574,3.06593,1.82796,0.95469,0.54188,0.3228,0.38208,0.10998,2.87519,1.8641,0.91428,0.000802,0.000802,0.000802
22,253.64,2.77696,1.54874,0.93285,0.54188,0.3228,0.38208,0.10998,2.87519,1.8641,0.91428,0.0007921,0.0007921,0.0007921
23,266.361,3.37979,1.48279,0.90622,0.54188,0.3228,0.38208,0.10998,2.87519,1.8641,0.91428,0.0007822,0.0007822,0.0007822
24,278.619,2.79085,1.46428,0.91704,0.58104,0.3432,0.41115,0.13352,2.71988,1.77198,0.89327,0.0007723,0.0007723,0.0007723
25,290.296,2.60584,1.50172,0.94384,0.58104,0.3432,0.41115,0.13352,2.71988,1.77198,0.89327,0.0007624,0.0007624,0.0007624
26,301.428,2.78434,1.51638,0.87016,0.58104,0.3432,0.41115,0.13352,2.71988,1.77198,0.89327,0.0007525,0.0007525,0.0007525
27,313.689,3.07312,1.57829,0.94359,0.56105,0.3304,0.4005,0.14068,2.73711,1.84939,0.88201,0.0007426,0.0007426,0.0007426
28,325.592,2.78945,1.44007,0.86633,0.56105,0.3304,0.4005,0.14068,2.73711,1.84939,0.88201,0.0007327,0.0007327,0.0007327
29,336.566,2.95169,1.70507,0.97435,0.56105,0.3304,0.4005,0.14068,2.73711,1.84939,0.88201,0.0007228,0.0007228,0.0007228
30,348.086,2.8548,1.39016,0.86266,0.51772,0.30831,0.37088,0.13183,2.90183,1.99096,0.89171,0.0007129,0.0007129,0.0007129
31,359.154,2.79595,2.08496,0.91302,0.51772,0.30831,0.37088,0.13183,2.90183,1.99096,0.89171,0.000703,0.000703,0.000703
32,369.386,2.61738,1.50349,0.93148,0.51772,0.30831,0.37088,0.13183,2.90183,1.99096,0.89171,0.0006931,0.0006931,0.0006931
33,379.916,2.66557,1.49479,0.93231,0.51772,0.30831,0.37088,0.13183,2.90183,1.99096,0.89171,0.0006832,0.0006832,0.0006832
34,391.829,2.82148,1.44547,0.89695,0.50971,0.3056,0.37013,0.129,2.95455,1.99363,0.89721,0.0006733,0.0006733,0.0006733
35,402.957,2.77431,1.55752,0.91437,0.50971,0.3056,0.37013,0.129,2.95455,1.99363,0.89721,0.0006634,0.0006634,0.0006634
36,414.789,2.78923,1.5286,0.9739,0.50971,0.3056,0.37013,0.129,2.95455,1.99363,0.89721,0.0006535,0.0006535,0.0006535
37,425.935,2.71926,1.71007,0.90555,0.54161,0.3248,0.39163,0.13677,2.88968,1.92804,0.89194,0.0006436,0.0006436,0.0006436
38,436.971,2.77353,1.48373,0.87779,0.54161,0.3248,0.39163,0.13677,2.88968,1.92804,0.89194,0.0006337,0.0006337,0.0006337
39,448.371,2.69035,1.39021,0.8788,0.54161,0.3248,0.39163,0.13677,2.88968,1.92804,0.89194,0.0006238,0.0006238,0.0006238
40,458.868,2.58867,1.44177,0.94351,0.58318,0.3524,0.42098,0.14313,2.77774,1.81023,0.88534,0.0006139,0.0006139,0.0006139
41,470.082,2.70255,1.72916,0.89628,0.58318,0.3524,0.42098,0.14313,2.77774,1.81023,0.88534,0.000604,0.000604,0.000604
42,480.924,2.75399,1.45504,0.9166,0.58318,0.3524,0.42098,0.14313,2.77774,1.81023,0.88534,0.0005941,0.0005941,0.0005941
43,492.268,2.82791,6.12697,0.96118,0.61553,0.37,0.44126,0.14362,2.65791,1.68362,0.88031,0.0005842,0.0005842,0.0005842
44,503.011,2.61613,1.6448,0.89754,0.61553,0.37,0.44126,0.14362,2.65791,1.68362,0.88031,0.0005743,0.0005743,0.0005743
45,514.651,2.69272,1.47734,0.86576,0.61553,0.37,0.44126,0.14362,2.65791,1.68362,0.88031,0.0005644,0.0005644,0.0005644
46,525.399,2.60963,1.47297,0.92701,0.63265,0.38302,0.45787,0.13898,2.6255,1.61676,0.88371,0.0005545,0.0005545,0.0005545
47,535.968,2.3329,1.38666,0.94006,0.63265,0.38302,0.45787,0.13898,2.6255,1.61676,0.88371,0.0005446,0.0005446,0.0005446
48,547.018,2.63762,1.45123,0.93142,0.63265,0.38302,0.45787,0.13898,2.6255,1.61676,0.88371,0.0005347,0.0005347,0.0005347
49,560.504,2.69258,1.32911,0.88061,0.63265,0.38302,0.45787,0.13898,2.6255,1.61676,0.88371,0.0005248,0.0005248,0.0005248
50,572.466,2.83755,1.46342,0.86245,0.64141,0.38493,0.4654,0.14031,2.59475,1.57898,0.88432,0.0005149,0.0005149,0.0005149
51,583.536,2.77631,1.48344,0.96253,0.64141,0.38493,0.4654,0.14031,2.59475,1.57898,0.88432,0.000505,0.000505,0.000505
52,595.113,2.93958,1.38441,0.8789,0.64141,0.38493,0.4654,0.14031,2.59475,1.57898,0.88432,0.0004951,0.0004951,0.0004951
53,606.085,2.77471,1.55896,0.95191,0.64654,0.38778,0.4665,0.13814,2.62976,1.52861,0.88932,0.0004852,0.0004852,0.0004852
54,617.298,2.67716,1.43783,0.92165,0.64654,0.38778,0.4665,0.13814,2.62976,1.52861,0.88932,0.0004753,0.0004753,0.0004753
55,628.098,2.53356,1.65139,0.92647,0.64654,0.38778,0.4665,0.13814,2.62976,1.52861,0.88932,0.0004654,0.0004654,0.0004654
56,639.932,2.96615,1.61375,0.90723,0.65093,0.38936,0.47159,0.1465,2.59689,1.50775,0.88442,0.0004555,0.0004555,0.0004555
57,649.922,2.76511,1.51222,0.92312,0.65093,0.38936,0.47159,0.1465,2.59689,1.50775,0.88442,0.0004456,0.0004456,0.0004456
58,661.008,2.47059,1.36384,0.93176,0.65093,0.38936,0.47159,0.1465,2.59689,1.50775,0.88442,0.0004357,0.0004357,0.0004357
59,671.844,2.50857,1.43288,0.9159,0.65209,0.3884,0.47358,0.15275,2.5525,1.47746,0.87851,0.0004258,0.0004258,0.0004258
