epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.475,3.41629,2.35508,1.61984,0.37667,0.1808,0.25175,0.08305,2.78898,76.9595,1.29157,8e-05,8e-05,0.09208
2,132.342,3.0656,1.91209,1.35549,0.43917,0.2108,0.30569,0.10615,2.94235,20.1492,1.37237,0.000169439,0.000169439,0.0831694
3,194.977,2.82194,2.02497,1.32422,0.48779,0.2336,0.3469,0.10754,2.99514,8.29709,1.39535,0.000258284,0.000258284,0.0742583
4,262.06,2.64111,1.6521,1.20829,0.48779,0.2336,0.3469,0.10754,2.99514,8.29709,1.39535,0.000346535,0.000346535,0.0653465
5,328.102,2.49002,1.52898,1.17132,0.52991,0.2604,0.3548,0.09023,3.28485,4.39771,1.52374,0.000434192,0.000434192,0.0564342
6,388.543,2.64656,1.92868,1.2806,0.39088,0.19559,0.22245,0.04239,3.53286,2.55721,1.62261,0.000521255,0.000521255,0.0475213
7,448.011,2.43367,1.57299,1.18182,0.39088,0.19559,0.22245,0.04239,3.53286,2.55721,1.62261,0.000607724,0.000607724,0.0386077
8,509.805,2.74134,2.74653,1.27374,0.39088,0.19559,0.22245,0.04239,3.53286,2.55721,1.62261,0.000693599,0.000693599,0.0296936
9,573.315,2.40826,1.5269,1.16338,0.30444,0.1632,0.17427,0.03317,3.45722,1.73399,1.53224,0.00077888,0.00077888,0.0207789
10,632.873,2.53849,1.97317,1.17187,0.30444,0.1632,0.17427,0.03317,3.45722,1.73399,1.53224,0.000863567,0.000863567,0.0118636
11,699.037,2.63602,1.76221,1.23509,0.30444,0.1632,0.17427,0.03317,3.45722,1.73399,1.53224,0.00094766,0.00094766,0.00294766
12,759.111,2.50418,1.85264,1.22528,0.30444,0.1632,0.17427,0.03317,3.45722,1.73399,1.53224,0.0009637,0.0009637,0.0009637
