epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2804,4.26557,3.64654,1.4834,0.005,0.00423,0.00251,0.00066,3.23808,3.54745,1.00372,0.00012,0.00012,0.000208
2,71.5003,3.49321,3.4865,1.22488,0.0075,0.00635,0.00378,0.00102,3.01856,3.4966,0.94918,0.000249293,0.000249293,0.000324293
3,101.008,3.38292,3.35498,1.13826,0.03139,0.02656,0.01621,0.00504,3.16478,3.45394,0.96679,0.00037785,0.00037785,0.00043985
4,134.907,3.01756,3.19722,1.08335,0.03778,0.03197,0.01963,0.00537,3.1733,3.38699,0.95896,0.000505672,0.000505672,0.000554672
5,166.121,3.15754,3.10189,1.08743,0.03694,0.03126,0.01914,0.00548,3.15679,3.32792,0.95842,0.000632759,0.000632759,0.000668759
6,198.216,2.97126,3.00593,1.05696,0.055,0.04654,0.02992,0.00868,3.1965,3.18307,0.95963,0.00075911,0.00075911,0.00078211
7,229.61,3.08497,2.94542,1.05116,0.14333,0.1213,0.12011,0.03591,3.15324,2.97475,0.9588,0.000884726,0.000884726,0.000894726
8,260.886,3.33714,2.88731,1.06862,0.20694,0.17513,0.16422,0.04711,3.1182,2.66847,0.95546,0.0009802,0.0009802,0.0009802
9,292.711,2.99315,2.74598,1.04399,0.20694,0.17513,0.16422,0.04711,3.1182,2.66847,0.95546,0.000977371,0.000977371,0.000977371
10,324.315,3.19716,2.69773,1.05149,0.28083,0.23766,0.20489,0.05612,3.19077,2.3115,0.96115,0.000974543,0.000974543,0.000974543
11,352.848,2.8483,2.5449,1.00534,0.34885,0.28279,0.24698,0.05936,3.27382,1.98146,0.96886,0.000971714,0.000971714,0.000971714
12,385.428,3.12292,2.5712,1.0213,0.45119,0.30183,0.29289,0.0662,3.30761,1.78827,0.97614,0.000968886,0.000968886,0.000968886
13,416.531,3.10984,2.46906,1.00168,0.46624,0.3237,0.31058,0.07438,3.2503,1.75962,0.97296,0.000966057,0.000966057,0.000966057
14,450.903,2.90913,2.40119,0.97693,0.53,0.37118,0.36992,0.08607,3.17849,1.73735,0.96256,0.000963229,0.000963229,0.000963229
15,481.478,2.87355,2.27338,0.97674,0.53,0.37118,0.36992,0.08607,3.17849,1.73735,0.96256,0.0009604,0.0009604,0.0009604
16,511.812,2.71452,2.21927,0.96586,0.59556,0.42078,0.43912,0.11244,3.04132,1.69005,0.94329,0.000957571,0.000957571,0.000957571
17,541.333,2.93361,2.24455,0.94474,0.62321,0.44241,0.46534,0.12108,3.01583,1.65932,0.94085,0.000954743,0.000954743,0.000954743
18,568.7,2.6598,2.05284,0.95521,0.62667,0.44734,0.47205,0.12718,2.98168,1.61985,0.94084,0.000951914,0.000951914,0.000951914
19,602.525,2.69732,2.05583,0.95092,0.63617,0.45416,0.48098,0.12927,2.93643,1.62548,0.93842,0.000949086,0.000949086,0.000949086
20,633.661,2.75276,2.01675,0.92179,0.63617,0.45416,0.48098,0.12927,2.93643,1.62548,0.93842,0.000946257,0.000946257,0.000946257
21,663.858,2.72924,1.96731,0.91935,0.62866,0.45051,0.47245,0.12672,2.94593,1.60912,0.94053,0.000943429,0.000943429,0.000943429
22,710.244,2.70436,1.96845,0.91417,0.62551,0.44682,0.47175,0.13266,2.91835,1.56476,0.93617,0.0009406,0.0009406,0.0009406
23,779.382,2.78764,1.96042,0.91918,0.63074,0.4457,0.47298,0.14239,2.86404,1.51847,0.926,0.000937771,0.000937771,0.000937771
24,814.731,2.76126,1.9709,0.9249,0.62342,0.44287,0.46934,0.15377,2.79511,1.4724,0.91389,0.000934943,0.000934943,0.000934943
25,842.917,2.59273,1.81506,0.90835,0.62342,0.44287,0.46934,0.15377,2.79511,1.4724,0.91389,0.000932114,0.000932114,0.000932114
26,874.609,2.88117,1.90978,0.91029,0.6179,0.44053,0.46432,0.16069,2.722,1.45267,0.90047,0.000929286,0.000929286,0.000929286
27,903.828,2.62607,1.70996,0.90984,0.59813,0.43465,0.45121,0.15817,2.69683,1.45288,0.89309,0.000926457,0.000926457,0.000926457
28,934.088,2.73366,1.75994,0.90126,0.61715,0.44264,0.46291,0.15971,2.66984,1.44496,0.88867,0.000923629,0.000923629,0.000923629
29,968.063,2.87627,1.84347,0.89988,0.61415,0.43889,0.45809,0.15567,2.69644,1.44755,0.89129,0.0009208,0.0009208,0.0009208
30,995.503,2.53866,1.59983,0.94363,0.62498,0.4415,0.46876,0.15404,2.69889,1.45397,0.8931,0.000917971,0.000917971,0.000917971
31,1027.08,2.77056,1.7153,0.88327,0.62498,0.4415,0.46876,0.15404,2.69889,1.45397,0.8931,0.000915143,0.000915143,0.000915143
32,1060.83,2.91246,1.76056,0.90502,0.62994,0.44698,0.4789,0.15116,2.72578,1.46754,0.89701,0.000912314,0.000912314,0.000912314
33,1092.07,2.62481,1.65941,0.89013,0.63522,0.4511,0.48499,0.14933,2.7493,1.46725,0.90083,0.000909486,0.000909486,0.000909486
34,1122.5,2.5817,1.61188,0.92424,0.64618,0.45769,0.48816,0.15452,2.73949,1.45673,0.8999,0.000906657,0.000906657,0.000906657
35,1151.8,2.53928,1.53536,0.90767,0.63976,0.46286,0.49069,0.15855,2.72321,1.45,0.89688,0.000903829,0.000903829,0.000903829
36,1180.97,2.58422,1.55085,0.90842,0.63976,0.46286,0.49069,0.15855,2.72321,1.45,0.89688,0.000901,0.000901,0.000901
37,1213.15,2.64592,1.5846,0.88459,0.63518,0.4591,0.48749,0.1652,2.69835,1.46754,0.89097,0.000898171,0.000898171,0.000898171
38,1244.74,2.47327,1.47296,0.88441,0.64406,0.46403,0.49306,0.18077,2.59966,1.43038,0.87582,0.000895343,0.000895343,0.000895343
39,1277.27,2.65744,1.56819,0.88793,0.64235,0.46333,0.491,0.19112,2.51001,1.4064,0.8651,0.000892514,0.000892514,0.000892514
40,1308.46,2.48913,1.44748,0.8869,0.6517,0.47062,0.49876,0.20191,2.43726,1.39003,0.85789,0.000889686,0.000889686,0.000889686
41,1336.86,2.48282,1.42137,0.89708,0.6517,0.47062,0.49876,0.20191,2.43726,1.39003,0.85789,0.000886857,0.000886857,0.000886857
42,1369.25,2.62568,1.50424,0.90135,0.66205,0.47479,0.5032,0.20377,2.40373,1.34958,0.85765,0.000884029,0.000884029,0.000884029
43,1401.48,2.4935,1.45087,0.89043,0.66124,0.47858,0.50256,0.19936,2.43213,1.33196,0.86281,0.0008812,0.0008812,0.0008812
44,1433.66,2.52264,1.4296,0.88948,0.66226,0.48025,0.50117,0.19411,2.4826,1.33062,0.87087,0.000878371,0.000878371,0.000878371
45,1464.26,2.42875,1.37834,0.86411,0.66869,0.48284,0.50317,0.19169,2.50162,1.3173,0.87524,0.000875543,0.000875543,0.000875543
46,1499.22,2.52996,1.40407,0.88571,0.66962,0.48166,0.50133,0.19031,2.49948,1.33131,0.87584,0.000872714,0.000872714,0.000872714
47,1530.06,2.57689,1.45833,0.90675,0.66962,0.48166,0.50133,0.19031,2.49948,1.33131,0.87584,0.000869886,0.000869886,0.000869886
48,1563.26,2.66725,1.49638,0.86656,0.67063,0.48566,0.50157,0.19585,2.48374,1.35662,0.87447,0.000867057,0.000867057,0.000867057
49,1590.97,2.35607,1.35958,0.87685,0.6623,0.48119,0.49771,0.19937,2.45355,1.38381,0.86951,0.000864229,0.000864229,0.000864229
50,1618.63,2.43391,1.39814,0.90789,0.66938,0.48637,0.50659,0.20626,2.41874,1.36967,0.8642,0.0008614,0.0008614,0.0008614
51,1649.19,2.45228,1.38513,0.87827,0.67843,0.49048,0.51438,0.21197,2.41558,1.3658,0.86322,0.000858571,0.000858571,0.000858571
52,1678.96,2.44887,1.36848,0.88578,0.67843,0.49048,0.51438,0.21197,2.41558,1.3658,0.86322,0.000855743,0.000855743,0.000855743
53,1705.95,2.35895,1.32617,0.9166,0.68763,0.49553,0.52253,0.2196,2.39027,1.36913,0.86143,0.000852914,0.000852914,0.000852914
54,1733.52,2.4472,1.35705,0.90039,0.69552,0.49671,0.52857,0.22505,2.36311,1.35044,0.85853,0.000850086,0.000850086,0.000850086
55,1760.86,2.33747,1.32797,0.88187,0.69144,0.49506,0.53063,0.22403,2.3688,1.33046,0.85722,0.000847257,0.000847257,0.000847257
56,1788.72,2.38616,1.35064,0.88532,0.68229,0.48817,0.5229,0.22214,2.36339,1.32676,0.85634,0.000844429,0.000844429,0.000844429
57,1814.66,2.25214,1.2525,0.87829,0.68229,0.48817,0.5229,0.22214,2.36339,1.32676,0.85634,0.0008416,0.0008416,0.0008416
58,1842.07,2.33842,1.31165,0.89493,0.67957,0.48759,0.52202,0.22178,2.34527,1.30664,0.85463,0.000838771,0.000838771,0.000838771
59,1871.52,2.42421,1.35129,0.86988,0.68378,0.49001,0.52336,0.22403,2.33657,1.30499,0.85401,0.000835943,0.000835943,0.000835943
60,1899.81,2.33943,1.31483,0.89521,0.68365,0.48989,0.52259,0.22398,2.32614,1.28648,0.8515,0.000833114,0.000833114,0.000833114
61,1926.68,2.3709,1.33071,0.88409,0.6767,0.48707,0.51876,0.22196,2.31063,1.27285,0.84769,0.000830286,0.000830286,0.000830286
62,1954.13,2.32391,1.31579,0.90804,0.66888,0.48293,0.51177,0.2203,2.30183,1.26764,0.84617,0.000827457,0.000827457,0.000827457
63,1984.49,2.52008,1.35023,0.85462,0.66888,0.48293,0.51177,0.2203,2.30183,1.26764,0.84617,0.000824629,0.000824629,0.000824629
64,2014.63,2.46156,1.32023,0.88765,0.6616,0.47884,0.50871,0.21876,2.2901,1.27557,0.84423,0.0008218,0.0008218,0.0008218
65,2044.75,2.32474,1.27028,0.87061,0.64785,0.47062,0.49754,0.21312,2.27647,1.28065,0.84468,0.000818971,0.000818971,0.000818971
66,2077.18,2.41132,1.34633,0.87727,0.65592,0.4725,0.50156,0.21649,2.25321,1.27907,0.8438,0.000816143,0.000816143,0.000816143
67,2107.3,2.34363,1.30579,0.8783,0.67427,0.48237,0.51774,0.22453,2.24075,1.27467,0.84366,0.000813314,0.000813314,0.000813314
68,2139.36,2.51985,1.33817,0.86996,0.67427,0.48237,0.51774,0.22453,2.24075,1.27467,0.84366,0.000810486,0.000810486,0.000810486
69,2166.36,2.2736,1.25865,0.88111,0.68046,0.49154,0.52731,0.23027,2.24831,1.26838,0.84355,0.000807657,0.000807657,0.000807657
70,2194.61,2.35394,1.25131,0.86846,0.68926,0.49859,0.53584,0.23094,2.28984,1.25851,0.84594,0.000804829,0.000804829,0.000804829
71,2227.22,2.38662,1.27129,0.87799,0.69697,0.50329,0.54209,0.233,2.32446,1.25697,0.84805,0.000802,0.000802,0.000802
72,2256.68,2.24099,1.20849,0.85893,0.7044,0.50658,0.54742,0.23936,2.31715,1.25208,0.84771,0.000799171,0.000799171,0.000799171
73,2286.71,2.3925,1.30589,0.89346,0.7044,0.50658,0.54742,0.23936,2.31715,1.25208,0.84771,0.000796343,0.000796343,0.000796343
74,2316.28,2.36867,1.26342,0.8766,0.70106,0.50332,0.54379,0.242,2.2905,1.24457,0.84615,0.000793514,0.000793514,0.000793514
75,2346.48,2.31953,1.2487,0.86851,0.69925,0.50235,0.54241,0.23923,2.27526,1.24218,0.84407,0.000790686,0.000790686,0.000790686
76,2376.58,2.32166,1.23102,0.87191,0.69619,0.50188,0.54123,0.23709,2.29767,1.24235,0.84422,0.000787857,0.000787857,0.000787857
77,2403.92,2.22246,1.21302,0.86034,0.69675,0.50282,0.54201,0.2329,2.3031,1.24523,0.84236,0.000785029,0.000785029,0.000785029
78,2433.51,2.31503,1.27875,0.86759,0.69942,0.50447,0.54307,0.23386,2.30316,1.2488,0.83983,0.0007822,0.0007822,0.0007822
79,2463.28,2.24784,1.23138,0.85388,0.69942,0.50447,0.54307,0.23386,2.30316,1.2488,0.83983,0.000779371,0.000779371,0.000779371
80,2495.82,2.38807,1.24303,0.85618,0.70165,0.5047,0.5423,0.23419,2.30569,1.26882,0.83791,0.000776543,0.000776543,0.000776543
81,2527.09,2.36886,1.31496,0.89524,0.70353,0.50651,0.54203,0.23459,2.2957,1.28394,0.83821,0.000773714,0.000773714,0.000773714
82,2555.88,2.33447,1.24768,0.87385,0.71015,0.51081,0.54987,0.23671,2.29839,1.28617,0.83942,0.000770886,0.000770886,0.000770886
83,2585.24,2.27197,1.2309,0.85273,0.71219,0.51073,0.54996,0.23424,2.32501,1.27506,0.84128,0.000768057,0.000768057,0.000768057
84,2614.83,2.25628,1.2063,0.8511,0.71219,0.51073,0.54996,0.23424,2.32501,1.27506,0.84128,0.000765229,0.000765229,0.000765229
85,2644.39,2.27869,1.25143,0.85655,0.7108,0.5094,0.54805,0.2351,2.31894,1.25732,0.84066,0.0007624,0.0007624,0.0007624
86,2677.7,2.41678,1.26093,0.84826,0.70884,0.50823,0.54638,0.24037,2.28583,1.24162,0.83849,0.000759571,0.000759571,0.000759571
87,2705.6,2.24408,1.22441,0.88402,0.71058,0.50961,0.54811,0.24287,2.25818,1.23565,0.83761,0.000756743,0.000756743,0.000756743
88,2732.78,2.23716,1.24214,0.88045,0.70714,0.50705,0.54185,0.24137,2.25222,1.23046,0.83734,0.000753914,0.000753914,0.000753914
89,2759.78,2.07782,1.1617,0.88093,0.70714,0.50705,0.54185,0.24137,2.25222,1.23046,0.83734,0.000751086,0.000751086,0.000751086
90,2791.96,2.3406,1.25541,0.85729,0.71237,0.51199,0.54885,0.24076,2.26093,1.22486,0.8387,0.000748257,0.000748257,0.000748257
91,2821.65,2.33331,1.26039,0.88095,0.71024,0.51167,0.54953,0.23601,2.29576,1.23044,0.83981,0.000745429,0.000745429,0.000745429
92,2852.86,2.26968,1.17439,0.84468,0.7092,0.50966,0.54958,0.23389,2.30287,1.23901,0.8387,0.0007426,0.0007426,0.0007426
93,2879.13,2.15491,1.21259,0.877,0.70217,0.50635,0.54463,0.23336,2.26563,1.23523,0.83448,0.000739771,0.000739771,0.000739771
94,2906.61,2.24235,1.21091,0.86496,0.70352,0.50682,0.54711,0.23809,2.22672,1.23005,0.83202,0.000736943,0.000736943,0.000736943
95,2935.14,2.28277,1.2188,0.85446,0.70352,0.50682,0.54711,0.23809,2.22672,1.23005,0.83202,0.000734114,0.000734114,0.000734114
96,2963.05,2.20016,1.24119,0.86965,0.69529,0.49953,0.53764,0.23723,2.19719,1.23588,0.83012,0.000731286,0.000731286,0.000731286
97,2991.01,2.16509,1.17048,0.8479,0.69287,0.49849,0.53766,0.23722,2.17883,1.23969,0.83023,0.000728457,0.000728457,0.000728457
98,3020.36,2.24922,1.26207,0.86275,0.68632,0.49412,0.53118,0.23358,2.17683,1.24253,0.82884,0.000725629,0.000725629,0.000725629
99,3052.08,2.35882,1.28784,0.87343,0.6904,0.49812,0.53326,0.23223,2.196,1.2443,0.83135,0.0007228,0.0007228,0.0007228
100,3084.49,2.15351,1.1768,0.85585,0.6904,0.49812,0.53326,0.23223,2.196,1.2443,0.83135,0.000719971,0.000719971,0.000719971
101,3119.16,2.29813,1.26662,0.85751,0.69662,0.50306,0.5396,0.23521,2.20728,1.24062,0.83259,0.000717143,0.000717143,0.000717143
102,3146.93,2.05567,1.18851,0.87968,0.70871,0.51011,0.54729,0.23824,2.23225,1.23635,0.83547,0.000714314,0.000714314,0.000714314
103,3177.81,2.19487,1.17551,0.86111,0.71007,0.51199,0.54828,0.24042,2.23293,1.23989,0.83461,0.000711486,0.000711486,0.000711486
104,3209.62,2.14635,1.16751,0.85227,0.71462,0.51457,0.55308,0.24404,2.21297,1.25003,0.83172,0.000708657,0.000708657,0.000708657
105,3239.72,2.0929,1.16279,0.87466,0.71462,0.51457,0.55308,0.24404,2.21297,1.25003,0.83172,0.000705829,0.000705829,0.000705829
106,3272.85,2.32786,1.16701,0.83221,0.71288,0.5134,0.55231,0.24431,2.20913,1.25922,0.83035,0.000703,0.000703,0.000703
107,3303.03,2.21155,1.16938,0.85898,0.71406,0.51541,0.55391,0.24556,2.20698,1.26218,0.82927,0.000700171,0.000700171,0.000700171
