epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.717,3.73126,3.01269,1.26707,0.06593,0.03599,0.03554,0.00647,3.63065,2.81643,1.05256,8e-05,8e-05,0.09208
2,45.2997,3.65513,2.34581,1.08896,0.21778,0.11888,0.12665,0.04052,3.03365,2.40544,0.95151,0.000169439,0.000169439,0.0831694
3,67.6825,3.49454,2.03857,1.00995,0.2263,0.12353,0.13427,0.04362,3.31849,2.20684,0.96163,0.000258284,0.000258284,0.0742583
4,87.5248,3.40515,1.90868,1.03912,0.29,0.15831,0.17665,0.06075,3.16337,2.03923,0.94053,0.000346535,0.000346535,0.0653465
5,108.642,3.07015,1.84739,0.98402,0.35444,0.19349,0.22332,0.07623,2.86408,1.93475,0.91868,0.000434192,0.000434192,0.0564342
6,131.95,3.10813,1.66333,0.96022,0.37556,0.20501,0.23452,0.06368,2.92794,1.86172,0.93561,0.000521255,0.000521255,0.0475213
7,156.395,3.23029,7.39968,1.00221,0.3537,0.19309,0.21398,0.04695,3.09423,1.808,0.96091,0.000607724,0.000607724,0.0386077
8,177.543,3.17557,1.67704,0.97803,0.31963,0.17448,0.19339,0.04175,3.15373,1.77059,0.97238,0.000693599,0.000693599,0.0296936
9,200.562,3.05084,2.93268,0.96887,0.31963,0.17448,0.19339,0.04175,3.15373,1.77059,0.97238,0.00077888,0.00077888,0.0207789
10,221.265,3.08783,1.65934,0.95181,0.37667,0.20562,0.23558,0.05831,3.07402,1.73549,0.95583,0.000863567,0.000863567,0.0118636
11,243.582,2.97662,1.61886,0.976,0.37667,0.20562,0.23558,0.05831,3.07402,1.73549,0.95583,0.00094766,0.00094766,0.00294766
12,264.319,2.80436,19.6865,0.99522,0.51926,0.28346,0.36521,0.10006,2.92983,1.72405,0.92758,0.0009637,0.0009637,0.0009637
13,286.832,3.06809,1.60692,0.95768,0.51926,0.28346,0.36521,0.10006,2.92983,1.72405,0.92758,0.0009604,0.0009604,0.0009604
14,310.055,3.16183,1.57687,0.93498,0.55519,0.30307,0.40363,0.12916,2.85218,1.68724,0.91548,0.0009571,0.0009571,0.0009571
15,332.433,2.93636,1.57405,0.9314,0.56936,0.30795,0.41369,0.13862,2.8251,1.65286,0.91168,0.0009538,0.0009538,0.0009538
16,352.05,2.88455,1.6946,0.98004,0.56936,0.30795,0.41369,0.13862,2.8251,1.65286,0.91168,0.0009505,0.0009505,0.0009505
17,375.344,2.93895,1.62391,0.95889,0.58475,0.31601,0.42081,0.14109,2.7686,1.62168,0.90571,0.0009472,0.0009472,0.0009472
